"route","region","location.bcr","location.statenum","location.routename","nyears_start","nyears_end","complete_coverage","matssname","window","nreq"
8,38,19,38,"ST JOHN",5,5,TRUE,"bbs_rtrg_8_38",4,5
14,54,19,54,"SURPRISE",5,5,TRUE,"bbs_rtrg_14_54",4,5
17,54,19,54,"PETERSBURG",5,5,TRUE,"bbs_rtrg_17_54",4,5
20,38,19,38,"ALBERT",5,5,TRUE,"bbs_rtrg_20_38",4,5
28,38,19,38,"HANOVER",5,5,TRUE,"bbs_rtrg_28_38",4,5
30,38,19,38,"HOLLENBERG",5,5,TRUE,"bbs_rtrg_30_38",4,5
32,38,19,38,"COVERT",5,5,TRUE,"bbs_rtrg_32_38",4,5
118,38,19,38,"SOLOMON",5,5,TRUE,"bbs_rtrg_118_38",4,5
42,83,20,83,"HARPER",5,5,TRUE,"bbs_rtrg_42_83",4,5
5,67,21,67,"MILL CREEK",5,5,TRUE,"bbs_rtrg_5_67",4,5
46,83,21,83,"MASSEY LAKE",5,5,TRUE,"bbs_rtrg_46_83",4,5
61,83,21,83,"DALLAS",5,5,TRUE,"bbs_rtrg_61_83",4,5
62,83,21,83,"GLEN ROSE",5,5,TRUE,"bbs_rtrg_62_83",4,5
64,83,21,83,"SELDEN",5,5,TRUE,"bbs_rtrg_64_83",4,5
65,83,21,83,"GRAFORD",5,5,TRUE,"bbs_rtrg_65_83",4,5
66,83,21,83,"COTTONWOOD",5,5,TRUE,"bbs_rtrg_66_83",4,5
67,83,21,83,"ALBANY",5,5,TRUE,"bbs_rtrg_67_83",4,5
76,83,21,83,"OLNEY",5,5,TRUE,"bbs_rtrg_76_83",4,5
273,83,21,83,"BLUE RIDGE",5,5,TRUE,"bbs_rtrg_273_83",4,5
10,34,22,34,"SHEFFIELD",5,5,TRUE,"bbs_rtrg_10_34",4,5
13,34,22,34,"STREATOR",5,5,TRUE,"bbs_rtrg_13_34",4,5
13,38,22,38,"OLATHE",5,5,TRUE,"bbs_rtrg_13_38",4,5
15,38,22,38,"BARCLAY",5,5,TRUE,"bbs_rtrg_15_38",4,5
16,35,22,35,"MIDDLETOWN",5,5,TRUE,"bbs_rtrg_16_35",4,5
16,38,22,38,"WREFORD",5,5,TRUE,"bbs_rtrg_16_38",4,5
25,34,22,34,"BARTONVILLE",5,5,TRUE,"bbs_rtrg_25_34",4,5
26,38,22,38,"GRANTVILLE",5,5,TRUE,"bbs_rtrg_26_38",4,5
29,34,22,34,"MINONK",5,5,TRUE,"bbs_rtrg_29_34",4,5
32,34,22,34,"PONTIAC",5,5,TRUE,"bbs_rtrg_32_34",4,5
22,49,23,49,"NEW TROY",5,5,TRUE,"bbs_rtrg_22_49",4,5
42,91,23,91,"ELDERON",5,5,TRUE,"bbs_rtrg_42_91",4,5
43,91,23,91,"SAXEVILLE",5,5,TRUE,"bbs_rtrg_43_91",4,5
