uid,nightuid,namedLocation,domainID,siteID,plotID,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF,publicationDate,release
1c10f2d1-f0b5-48b7-90dc-f2f422d87fb1,7F1B4BB7232F44318ECB83E8E005E214,ORNL_027.mammalGrid.mam,D07,ORNL,ORNL_027,2016-04-05,2016-04-05,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
bbfbddfd-651d-4c02-b36f-1e4d9f87dae4,637F6CCAB3284AC5A85045918E243675,ORNL_039.mammalGrid.mam,D07,ORNL,ORNL_039,2016-04-05,2016-04-05,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
1c21f8b1-9dcf-40c4-b92a-41a5caab8cff,E8D68020B3ED4558A035448BFB70B90E,ORNL_007.mammalGrid.mam,D07,ORNL,ORNL_007,2016-04-05,2016-04-05,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
9437ca1a-bf29-4ee2-9387-9b1fed9f824a,E8D51E9D824246739C9B1190C5C9A735,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-04-06,2016-04-06,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
94cfa4af-52ce-4b34-8f56-3a991a47cb68,6C65C20E870146049527B3F0CBAF192A,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-04-06,2016-04-06,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
96adedf1-26e5-4c71-9b6b-36bfed9877de,F1D88BB913ED42479AA8498E99B59AC2,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-04-06,2016-04-06,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
71ad7a7b-0af3-472f-937a-df05bfa815cd,DE1F1D52974B4406A4A9F79C2C8BE1D9,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-04-07,2016-04-07,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
dfcfa9f2-337e-45ce-8324-b40398b6d468,CD45C34F0462480B886384F03195E68B,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-04-07,2016-04-07,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
a0281644-1252-43f8-838a-f4fb83839ddf,AA7BE80CA0E248A6A3DFB22868E29AD1,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-04-07,2016-04-07,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
cc256dea-e6e3-4099-abd1-8a81727d9b78,627DB297C9444BD3B9B9061072A8E0B8,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-04-08,2016-04-08,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
b40c2262-de8c-4a1b-a0bc-42e4ae9f3469,86EE5B2DDA1C4F4791E5E1D3A7AC2007,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-04-08,2016-04-08,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
0346c321-6a11-47a7-a1c8-7a89ea88981a,D86A95CDAAA2441BA56E63DA962287DA,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-04-08,2016-04-08,,NEON.DOC.000481vG,used NEON.DOC.000481vH,,20210113T175139Z,RELEASE-2021
2bf94999-fee1-4c0f-b621-73704194c31a,3B7E933C701F44278C9D7283DE9CEC1E,ORNL_039.mammalGrid.mam,D07,ORNL,ORNL_039,2016-05-03,2016-05-03,,NEON.DOC.000481vG,Currently exercising sampling protocol version NEON.DOC.000481vH,,20210113T175601Z,RELEASE-2021
08716b1f-825c-4eaf-b308-a384aca347b8,3AA055DAACBD4A879A9608DF167966FF,ORNL_007.mammalGrid.mam,D07,ORNL,ORNL_007,2016-05-03,2016-05-03,,NEON.DOC.000481vG,We are using mammal protocol revision NEON.DOC.00481vH,,20210113T175601Z,RELEASE-2021
3e5192c1-f846-4b87-88f6-a07478bba800,3C1DF139AA0D4388AA1669D2C7DBB556,ORNL_027.mammalGrid.mam,D07,ORNL,ORNL_027,2016-05-03,2016-05-03,,NEON.DOC.000481vG,Currently using Sampling Protocol Version NEON.DOC.000481vH,,20210113T175601Z,RELEASE-2021
0fdb6298-ab2c-4651-a7b5-8e28a59a05e8,7247F91F2BC8406D9CB91AC1F75D74BE,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-05-04,2016-05-04,,NEON.DOC.000481vG,Protocol vH,,20210113T175601Z,RELEASE-2021
1035528f-da0a-48d4-b006-1a62bcf7f156,5B58619CEE694024A16736512B587837,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-05-04,2016-05-04,,NEON.DOC.000481vG,Currently using sampling protocol NEON.DOC.000481vG,,20210113T175601Z,RELEASE-2021
d3ddf0b1-1f49-4665-aa98-738ef6736a64,E3F0AD6AD45F4F3A98DE3BEC923F6EFB,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-05-04,2016-05-04,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175601Z,RELEASE-2021
4d44ba2a-a38c-4b45-858c-da83e46704ed,F9C9084CE94847F2854951A7D86DC828,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-05-05,2016-05-05,,NEON.DOC.000481vG,Protocol vH,,20210113T175601Z,RELEASE-2021
98a95801-71d0-405a-9e24-e499890863f2,697E4246E3AC4E4BB7B555ADD26FB969,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-05-05,2016-05-05,,NEON.DOC.000481vG,Currently using sampling protocol NEON.DOC.000481vH,,20210113T175601Z,RELEASE-2021
de5212d8-e036-4fff-8e3c-068d1d448dfa,18162C19E4924A5191242AC4EBF28560,ORNL_001.mammalGrid.mam,D07,ORNL,ORNL_001,2016-05-05,2016-05-05,,NEON.DOC.000481vG,Currently using sampling protocol version NEON.DOC.000481vH,,20210113T175601Z,RELEASE-2021
0842311e-c890-48c2-b8c7-71c6e6e937a4,DED8FD9F72504ADE9616B0AD4571B76C,ORNL_003.mammalGrid.mam,D07,ORNL,ORNL_003,2016-05-06,2016-05-06,,NEON.DOC.000481vG,Currently using Sampling Protocol Version: NEON.DOC.000481vG,,20210113T175601Z,RELEASE-2021
8d8fe2d5-fb30-47c0-8c29-c86b239c7d8f,743F198778C44A59A948CF1457FD12F1,ORNL_002.mammalGrid.mam,D07,ORNL,ORNL_002,2016-05-06,2016-05-06,,NEON.DOC.000481vG,Protocol vH,,20210113T175601Z,RELEASE-2021
