"route","statenum","id"
8,18,"sp4950"
9,18,"sp4950"
14,18,"sp4950"
116,18,"sp4950"
7,18,"sp5950"
8,18,"sp5950"
9,18,"sp5950"
14,18,"sp5950"
116,18,"sp5950"
7,18,"sp5150"
8,18,"sp5150"
9,18,"sp5150"
14,18,"sp5150"
116,18,"sp5150"
7,18,"sp7480"
14,18,"sp7480"
8,18,"sp7480"
9,18,"sp7480"
116,18,"sp7480"
7,18,"sp6740"
8,18,"sp6740"
9,18,"sp6740"
14,18,"sp6740"
116,18,"sp6740"
116,18,"sp7660"
7,18,"sp7660"
8,18,"sp7660"
9,18,"sp7660"
14,18,"sp7660"
7,18,"sp7280"
8,18,"sp7280"
9,18,"sp7280"
14,18,"sp7280"
116,18,"sp7280"
7,18,"sp5600"
8,18,"sp5600"
9,18,"sp5600"
14,18,"sp5600"
116,18,"sp5600"
7,18,"sp6420"
8,18,"sp6420"
9,18,"sp6420"
14,18,"sp6420"
116,18,"sp6420"
7,18,"sp6410"
8,18,"sp6410"
9,18,"sp6410"
14,18,"sp6410"
116,18,"sp6410"
7,18,"sp5580"
8,18,"sp5580"
9,18,"sp5580"
14,18,"sp5580"
116,18,"sp5580"
7,18,"sp5491"
8,18,"sp5491"
9,18,"sp5491"
14,18,"sp5491"
116,18,"sp5491"
7,18,"sp3000"
8,18,"sp3000"
9,18,"sp3000"
14,18,"sp3000"
116,18,"sp3000"
7,18,"sp3250"
8,18,"sp3250"
9,18,"sp3250"
14,18,"sp3250"
116,18,"sp3250"
7,18,"sp4880"
8,18,"sp4880"
9,18,"sp4880"
14,18,"sp4880"
116,18,"sp4880"
7,18,"sp5090"
8,18,"sp5090"
9,18,"sp5090"
14,18,"sp5090"
116,18,"sp5090"
9,18,"sp3100"
116,18,"sp3100"
7,18,"sp6580"
8,18,"sp6580"
9,18,"sp6580"
14,18,"sp6580"
116,18,"sp6580"
