Sequence,Order_,FamilyName,Family,Subfamily,Tribe,CommonName,Scientific,Authority,BirdLifeTa,RedListCat,Synonyms,Alternativ,TaxonomicN,SISRecID
135,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Alagoas Curassow,Mitu mitu,"(Linnaeus, 1766)",R,EW,NA,"Mutum-de-alagoas, Mutum, Paují Menor, Paují de Alagoas",NA,22678486
136,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Razor-billed Curassow,Mitu tuberosum,"(Spix, 1825)",R,LC,Mitu tuberosa; Crax tuberosa,NA,NA,22678478
137,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Salvin's Curassow,Mitu salvini,"(Reinhardt, 1879)",R,LC,Crax salvini,Salvin's Currasow,NA,22678472
138,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Horned Curassow,Pauxi unicornis,"Bond & Meyer de Schauensee, 1939",R,CR,NA,NA,"Pauxi unicornis and P. koepckeae (del Hoyo and Collar 2014) were previously lumped as P. unicornis following Sibley and Monroe (1990, 1993).",45090397
139,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Sira Curassow,Pauxi koepckeae,"Weske & Terborgh, 1971",R,CR,NA,NA,"Pauxi unicornis and P. koepckeae (del Hoyo and Collar 2014) were previously lumped as P. unicornis following Sibley and Monroe (1990, 1993).",45090459
140,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Cracinae,NA,Helmeted Curassow,Pauxi pauxi,"(Linnaeus, 1766)",R,EN,NA,"Northern Helmeted Curassow, Paují de Yelmo, Paují Copete de Piedra",NA,22678497
141,GALLIFORMES,Numididae,Guineafowl,NA,NA,Helmeted Guineafowl,Numida meleagris,"(Linnaeus, 1758)",R,LC,NA,"Tufted Guineafowl, Pintade commune",NA,22679555
142,GALLIFORMES,Numididae,Guineafowl,NA,NA,White-breasted Guineafowl,Agelastes meleagrides,"Bonaparte, 1850",R,VU,NA,"Pintado de Pecho Blanco, Pintado Pechiblanca, Pintade à poitrine blanche",NA,22679545
143,GALLIFORMES,Numididae,Guineafowl,NA,NA,Black Guineafowl,Agelastes niger,"(Cassin, 1857)",R,LC,NA,Pintade noire,NA,22679551
144,GALLIFORMES,Numididae,Guineafowl,NA,NA,Vulturine Guineafowl,Acryllium vulturinum,"(Hardwicke, 1834)",R,LC,NA,Pintade vulturine,NA,22679572
145,GALLIFORMES,Numididae,Guineafowl,NA,NA,Plumed Guineafowl,Guttera plumifera,"(Cassin, 1857)",R,LC,NA,Pintade plumifère,NA,22679560
146,GALLIFORMES,Numididae,Guineafowl,NA,NA,Western Crested Guineafowl,Guttera verreauxi,"(Elliot, 1870)",R,LC,NA,NA,"Guttera pucherani, G. edouardi and G. verreauxi (del Hoyo and Collar 2014) were previously lumped as G. pucherani following Sibley and Monroe (1990, 1993).",45479083
147,GALLIFORMES,Numididae,Guineafowl,NA,NA,Eastern Crested Guineafowl,Guttera pucherani,"(Hartlaub, 1860)",R,LC,NA,"Pintade huppée, Crested Guineafowl","Guttera pucherani, G. edouardi and G. verreauxi (del Hoyo and Collar 2014) were previously lumped as G. pucherani following Sibley and Monroe (1990, 1993).",22725212
148,GALLIFORMES,Numididae,Guineafowl,NA,NA,Southern Crested Guineafowl,Guttera edouardi,"(Hartlaub, 1867)",R,LC,NA,NA,"Guttera pucherani, G. edouardi and G. verreauxi (del Hoyo and Collar 2014) were previously lumped as G. pucherani following Sibley and Monroe (1990, 1993).",22725223
149,GALLIFORMES,Odontophoridae,New World quails,Ptilopachinae,NA,Stone Partridge,Ptilopachus petrosus,"(Gmelin, 1789)",R,LC,NA,Poule de roche,NA,22679110
150,GALLIFORMES,Odontophoridae,New World quails,Ptilopachinae,NA,Nahan's Partridge,Ptilopachus nahani,"(Dubois, 1905)",R,VU,Francolinus nahani,Francolin de Nahan,Ptilopachus nahani (del Hoyo and Collar 2014) was previously placed in the genus Francolinus.,22678795
151,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Banded Quail,Philortyx fasciatus,"(Gould, 1844)",R,LC,NA,NA,NA,22679615
152,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Mountain Quail,Oreortyx pictus,"(Douglas, 1829)",R,LC,NA,NA,NA,22679591
153,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Northern Bobwhite,Colinus virginianus,"(Linnaeus, 1758)",R,NT,NA,"Bobwhite, Bobwhite Quail",NA,22728956
154,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Black-throated Bobwhite,Colinus nigrogularis,"(Gould, 1843)",R,LC,NA,Yucatan Bobwhite,NA,22679623
155,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Spot-bellied Bobwhite,Colinus leucopogon,"(Lesson, 1842)",R,LC,NA,NA,"Colinus cristatus and C. leucopogon (del Hoyo and Collar 2014) were previously lumped as C. cristatus following Sibley and Monroe (1990, 1993).",45093155
156,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Crested Bobwhite,Colinus cristatus,"(Linnaeus, 1766)",R,LC,NA,NA,"Colinus cristatus and C. leucopogon (del Hoyo and Collar 2014) were previously lumped as C. cristatus following Sibley and Monroe (1990, 1993).",45093141
157,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Scaled Quail,Callipepla squamata,"(Vigors, 1830)",R,LC,NA,NA,NA,22679594
158,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Elegant Quail,Callipepla douglasii,"(Vigors, 1829)",R,LC,Lophortyx douglasii,NA,NA,22679597
159,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Gambel's Quail,Callipepla gambelii,"Gambel, 1843",R,LC,Lophortyx gambelii,NA,NA,22679609
160,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,California Quail,Callipepla californica,"(Shaw, 1798)",R,LC,Lophortyx californica,NA,NA,22679603
161,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Bearded Wood-partridge,Dendrortyx barbatus,"Gould, 1846",R,VU,NA,"Bearded Wood Partridge, Bearded Wood-Partridge",NA,22679576
162,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Long-tailed Wood-partridge,Dendrortyx macroura,"(Jardine & Selby, 1828)",R,LC,NA,"Long-tailed Wood Partridge, Long-tailed Wood-Partridge",NA,22679581
163,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Buffy-crowned Wood-partridge,Dendrortyx leucophrys,"(Gould, 1844)",R,LC,NA,"Buffy-crowned Wood Partridge, Buffy-crowned Wood-Partridge",NA,22679586
164,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Marbled Wood-quail,Odontophorus gujanensis,"(Gmelin, 1789)",R,NT,NA,"Marbled Wood-Quail, Marbled Wood Quail",NA,22679630
165,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Spot-winged Wood-quail,Odontophorus capueira,"(Spix, 1825)",R,LC,NA,"Spot-winged Wood-Quail, Spot-winged Wood Quail",NA,22679635
166,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Black-eared Wood-quail,Odontophorus melanotis,"Salvin, 1865",R,LC,NA,"Black-eared Wood-Quail, Black-eared Wood Quail",NA,22679640
167,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Rufous-fronted Wood-quail,Odontophorus erythrops,"Gould, 1859",R,LC,NA,"Rufous-fronted Wood-Quail, Rufous-fronted Wood Quail",NA,22679645
168,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Black-fronted Wood-quail,Odontophorus atrifrons,"Allen, 1900",R,VU,NA,"Black-fronted Wood Quail, Black-fronted Wood-Quail",NA,22679650
169,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Chestnut Wood-quail,Odontophorus hyperythrus,"Gould, 1858",R,LC,Odontophorus hyperthyrus,"Chestnut Wood Quail, Chestnut Wood-Quail",NA,22679655
170,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Dark-backed Wood-quail,Odontophorus melanonotus,"Gould, 1860",R,VU,NA,"Dark-backed Wood-Quail, Dark-backed Wood Quail",NA,22679663
171,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Rufous-breasted Wood-quail,Odontophorus speciosus,"Tschudi, 1843",R,NT,NA,"Rufous-breasted Wood-Quail, Rufous-breasted Wood Quail",NA,22679668
172,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Tacarcuna Wood-quail,Odontophorus dialeucos,"Wetmore, 1963",R,VU,NA,"Tacarcuna Wood-Quail, Tacarcuna Wood Quail",NA,22679673
173,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Gorgeted Wood-quail,Odontophorus strophium,"(Gould, 1844)",R,VU,NA,"Gorgeted Wood-Quail, Gorgeted Wood Quail",NA,22679678
174,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Venezuelan Wood-quail,Odontophorus columbianus,"(Gould, 1850)",R,NT,NA,"Venezuelan Wood-Quail, Venezuelan Wood Quail",NA,22679683
175,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Black-breasted Wood-quail,Odontophorus leucolaemus,"Salvin, 1867",R,LC,NA,"Black-breasted Wood-Quail, Black-breasted Wood Quail",NA,22679688
176,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Stripe-faced Wood-quail,Odontophorus balliviani,"Gould, 1846",R,LC,NA,"Stripe-faced Wood-Quail, Stripe-faced Wood Quail",NA,22679693
177,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Starred Wood-quail,Odontophorus stellatus,"(Gould, 1843)",R,LC,NA,"Starred Wood-Quail, Starred Wood Quail",NA,22679698
178,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Spotted Wood-quail,Odontophorus guttatus,"(Gould, 1838)",R,LC,NA,"Spotted Wood-Quail, Spotted Wood Quail",NA,22679703
179,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Tawny-faced Quail,Rhynchortyx cinctus,"(Salvin, 1876)",R,LC,NA,NA,NA,22679720
180,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Singing Quail,Dactylortyx thoracicus,"(Gambel, 1848)",R,LC,NA,NA,NA,22679708
181,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Montezuma Quail,Cyrtonyx montezumae,"(Vigors, 1830)",R,LC,NA,NA,"Cyrtonyx montezumae and C. sallei (del Hoyo and Collar 2014) were previously lumped as C. montezumae following Sibley and Monroe (1990, 1993), but prior to that had been treated as two species in Collar and Andrew (1988).",22728212
182,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Spot-breasted Quail,Cyrtonyx sallei,"J. Verreaux, 1859",R,NT,NA,NA,"Cyrtonyx montezumae and C. sallei (del Hoyo and Collar 2014) were previously lumped as C. montezumae following Sibley and Monroe (1990, 1993), but prior to that had been treated as two species in Collar and Andrew (1988).",22724748
183,GALLIFORMES,Odontophoridae,New World quails,Odontophorinae,NA,Ocellated Quail,Cyrtonyx ocellatus,"(Gould, 1837)",R,VU,NA,NA,NA,22679717
184,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Udzungwa Forest-partridge,Xenoperdix udzungwensis,"Dinesen, Lehmberg, Svendsen & Fjeldså, 1994",R,EN,NA,"Perdiz de Udzungwa, Uzungwa Francolin, Francolin d'Uzungwa, Udzungwa Forest Partridge, Xénoperdrix de Tanzanie",NA,22678901
185,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Crested Partridge,Rollulus rouloul,"(Scopoli, 1786)",R,NT,NA,Perdiz Rulrul,NA,22679106
186,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Hill Partridge,Arborophila torqueola,"(Valenciennes, 1826)",R,LC,NA,NA,NA,22679017
187,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Rufous-throated Partridge,Arborophila rufogularis,"(Blyth, 1850)",R,LC,NA,NA,NA,22679020
188,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,White-cheeked Partridge,Arborophila atrogularis,"(Blyth, 1850)",R,NT,NA,NA,NA,22679023
189,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Taiwan Partridge,Arborophila crudigularis,"(Swinhoe, 1864)",R,LC,NA,NA,NA,22679026
190,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Chestnut-breasted Partridge,Arborophila mandellii,"Hume, 1874",R,VU,NA,NA,NA,22679029
191,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Bar-backed Partridge,Arborophila brunneopectus,"(Blyth, 1855)",R,LC,NA,NA,NA,22679032
192,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Sichuan Partridge,Arborophila rufipectus,"Boulton, 1932",R,EN,NA,NA,NA,22679035
193,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Collared Partridge,Arborophila gingica,"(Gmelin, 1789)",R,NT,NA,Rickett's Hill-partridge,NA,22679050
194,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Orange-necked Partridge,Arborophila davidi,"Delacour, 1927",R,NT,NA,NA,NA,22679054
195,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Chestnut-headed Partridge,Arborophila cambodiana,"Delacour & Jabouille, 1928",R,LC,NA,NA,NA,22679057
196,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Malay Partridge,Arborophila campbelli,"(Robinson, 1904)",R,LC,NA,NA,NA,22734742
197,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Tan-breasted Partridge,Arborophila rolli,"(Rothschild, 1909)",R,LC,NA,NA,NA,22732183
198,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Sumatran Partridge,Arborophila sumatrana,"Ogilvie-Grant, 1891",R,LC,NA,NA,NA,22729814
199,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,White-faced Partridge,Arborophila orientalis,"(Horsfield, 1821)",R,VU,NA,Grey-breasted Partridge,NA,22679038
200,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Chestnut-bellied Partridge,Arborophila javanica,"(Gmelin, 1879)",R,LC,NA,NA,NA,22679044
201,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Red-billed Partridge,Arborophila rubrirostris,"(Salvadori, 1879)",R,LC,NA,NA,NA,22679060
202,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Bornean Partridge,Arborophila hyperythra,"(Sharpe, 1879)",R,LC,NA,NA,NA,22679047
203,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Hainan Partridge,Arborophila ardens,"(Styan, 1892)",R,VU,NA,"Hainan Hill-partridge, White-eared Hill-partridge, White-eared Partridge",NA,22679063
204,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Green-legged Partridge,Arborophila chloropus,"(Blyth, 1859)",R,LC,NA,NA,NA,22731882
205,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Tonkin Partridge,Arborophila tonkinensis,"(Delacour, 1927)",R,LC,NA,NA,"Arborophila charltonii, A. tonkinensis, and A. graydoni (del Hoyo and Collar 2014) were previously lumped as A. charltonii following Sibley and Monroe (1990, 1993).",22727383
206,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Chestnut-necklaced Partridge,Arborophila charltonii,"(Eyton, 1845)",R,VU,NA,"Arborófila Pechicastaña, Perdiz de Bosque de Charlton, Chestnut-breasted Tree-partridge, Scaly-breasted Partridge","Arborophila charltonii, A. tonkinensis, and A. graydoni (del Hoyo and Collar 2014) were previously lumped as A. charltonii following Sibley and Monroe (1990, 1993).",22727395
207,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Sabah Partridge,Arborophila graydoni,"(Sharpe & Chubb, 1906)",R,LC,NA,NA,"Arborophila charltonii, A. tonkinensis, and A. graydoni (del Hoyo and Collar 2014) were previously lumped as A. charltonii following Sibley and Monroe (1990, 1993).",22727389
208,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Long-billed Partridge,Rhizothera longirostris,"(Temminck, 1815)",R,NT,NA,NA,"Rhizothera longirostris and R. dulitensis (del Hoyo and Collar 2014) were previously lumped as R. longirostris following Sibley and Monroe (1990, 1993).",22728238
209,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Dulit Partridge,Rhizothera dulitensis,"Ogilvie-Grant, 1895",R,VU,NA,NA,"Rhizothera longirostris and R. dulitensis (del Hoyo and Collar 2014) were previously lumped as R. longirostris following Sibley and Monroe (1990, 1993).",22728242
210,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Black Partridge,Melanoperdix niger,"(Vigors, 1829)",R,VU,Melanoperdix nigra,"Black Wood-partridge, Perdiz Negra, Perdiz de Bosque Negra",NA,22678934
211,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae,NA,Crimson-headed Partridge,Haematortyx sanguiniceps,"Sharpe, 1879",R,LC,NA,NA,NA,22679103
212,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae: incertae sedis,NA,Ferruginous Partridge,Caloperdix oculeus,"(Temminck, 1815)",R,NT,Caloperdix oculea,Perdicilla Herrumbrosa,NA,22679094
213,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae: incertae sedis,NA,Red Spurfowl,Galloperdix spadicea,"(Gmelin, 1789)",R,LC,NA,NA,NA,22679131
214,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae: incertae sedis,NA,Painted Spurfowl,Galloperdix lunulata,"(Valenciennes, 1825)",R,LC,NA,NA,NA,22679134
215,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Rollulinae: incertae sedis,NA,Sri Lanka Spurfowl,Galloperdix bicalcarata,"(Forster, 1781)",R,LC,NA,Ceylon Spurfowl,NA,22679137
216,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Pavonini,Congo Peafowl,Afropavo congensis,"Chapin, 1936",R,VU,NA,"Paon du Congo, Congo Peacock",NA,22679430
217,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Pavonini,Indian Peafowl,Pavo cristatus,"Linnaeus, 1758",R,LC,NA,"Common Peafowl, Peafowl",NA,22679435
218,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Pavonini,Green Peafowl,Pavo muticus,"Linnaeus, 1766",R,EN,NA,"Pavo-real Verde, Pavo-real Cuelliverde, Green-necked Peafowl",NA,22679440
219,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Pavonini,Great Argus,Argusianus argus,"(Linnaeus, 1766)",R,VU,NA,Argos Real,NA,22725006
220,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Pavonini,Crested Argus,Rheinardia ocellata,"(Elliot, 1871)",R,EN,Rheinartia ocellata,"Ocellated Pheasant, Faisán de Rheinard",NA,22679412
221,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Polyplectronini,Palawan Peacock-pheasant,Polyplectron napoleonis,"Lesson, 1831",R,VU,Polyplectron emphanum,"Napoleon's Peacock-pheasant, Espolonero de Palawan, Palawan Peacock-Pheasant, Faisán Real de Palaguán",NA,22679398
222,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Polyplectronini,Malay Peacock-pheasant,Polyplectron malacense,"(Scopoli, 1786)",R,VU,NA,"Malayan Peacock-Pheasant, Espolonero Malayo, Crested Peacock-pheasant, Faisán Real Malayo, Faisán de Cola Ocelada Malayo",NA,22679385
223,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Polyplectronini,Bornean Peacock-pheasant,Polyplectron schleiermacheri,"Brüggemann, 1877",R,EN,NA,"Bornean Peacock-Pheasant, Espolonero de Borneo",NA,22679393
224,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Polyplectronini,Germain's Peacock-pheasant,Polyplectron germaini,"Elliot, 1866",R,NT,NA,"Faisán Real de Germain, Faisán de Cola Ocelada de Germain, Germain's Peacock-Pheasant, Espolonero de Germain",NA,22679372
225,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Polyplectronini,Hainan Peacock-pheasant,Polyplectron katsumatae,"Rothschild, 1906",R,EN,NA,NA,NA,22734897
226,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Polyplectronini,Grey Peacock-pheasant,Polyplectron bicalcaratum,"(Linnaeus, 1758)",R,LC,NA,Grey Peacock-Pheasant,NA,22736199
227,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Polyplectronini,Mountain Peacock-pheasant,Polyplectron inopinatum,"(Rothschild,1903)",R,VU,NA,"Mountain Peacock-Pheasant, Rothschild's Peacock-pheasant, Espolonero de Rothschild, Faisán de Cola Ocelada Indómito",NA,22679365
228,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Polyplectronini,Bronze-tailed Peacock-pheasant,Polyplectron chalcurum,"Lesson, 1831",R,LC,NA,Bronze-tailed Peacock-Pheasant,NA,22679361
229,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Coturnicini,Madagascar Partridge,Margaroperdix madagarensis,"(Scopoli, 1786)",R,LC,Margaroperdix madagarensis,Caille de Madagascar,M. madagarensis (del Hoyo and Collar 2014) was previously listed as M. madagascariensis.,22678927
230,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Coturnicini,Common Quail,Coturnix coturnix,"(Linnaeus, 1758)",R,LC,NA,"Caille des blés, Quail",NA,22678944
231,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Coturnicini,Japanese Quail,Coturnix japonica,"Temminck & Schlegel, 1849",R,NT,NA,NA,NA,22678949
232,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Coturnicini,Rain Quail,Coturnix coromandelica,"(Gmelin, 1789)",R,LC,NA,NA,NA,22678958
233,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Coturnicini,Harlequin Quail,Coturnix delegorguei,"Delegorgue, 1847",R,LC,NA,Caille arlequin,NA,22678961
234,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Coturnicini,Stubble Quail,Coturnix pectoralis,"Gould, 1837",R,LC,NA,NA,NA,22678952
235,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Coturnicini,New Zealand Quail,Coturnix novaezelandiae,"Quoy & Gaimard, 1830",R,EX,NA,NA,NA,22678955
236,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Coturnicini,Brown Quail,Synoicus ypsilophorus,"(Bosc, 1792)",R,LC,Coturnix ypsilophora,NA,Synoicus ypsilophorus (del Hoyo and Collar 2014) was previously placed in the genus Coturnix as C. ypsilophora.,22678965
237,GALLIFORMES,Phasianidae,"Pheasants, partridges, turkeys, grouse",Phasianinae,Coturnicini,Asian Blue Quail,Synoicus chinensis,"(Linnaeus, 1766)",R,LC,Coturnix chinensis_old,"Caille bleue, Blue Quail, Blue-breasted Quail, King Quail","Synoicus chinensis and S. adansonii (del Hoyo and Collar 2014) were previously placed in the genus Coturnix and lumped as C. chinensis following Dowsett and Forbes-Watson (1993) and a review by the BirdLife Taxonomic Working Group, and before then were s",22678979
