"","countrynum","statenum","route","routename","active","latitude","longitude","stratum","bcr","routetypeid","routetypedetailid","regionname"
"256",840,50,33,"SAWBILL LNDG",1,47.7051868,-91.5398453,28,12,1,1,"MINNESOTA"
"257",840,50,35,"FLOODWOOD",1,47.0684835,-92.9862729,28,12,1,1,"MINNESOTA"
"258",840,50,37,"COHASSET",1,47.34027,-93.63994,28,12,1,1,"MINNESOTA"
"259",840,51,25,"ABERDEEN",1,33.8691757,-88.6571809,4,27,1,1,"MISSISSIPPI"
"260",840,51,30,"BENNDALE",1,30.8158367,-88.7684399,3,27,1,1,"MISSISSIPPI"
"261",840,51,119,"NECAISE",1,30.6193407,-89.5109799,3,27,1,1,"MISSISSIPPI"
"262",840,51,229,"LATIMER",1,30.4987757,-88.7992689,3,27,1,1,"MISSISSIPPI"
"263",840,52,7,"CP GIRARDEAU",1,37.3066269,-89.526555,5,26,1,1,"MISSOURI"
"264",840,52,10,"AKERS",1,37.3759607,-91.5529269,19,24,1,1,"MISSOURI"
"265",840,52,11,"WESCO",1,37.9039787,-91.4239279,19,24,1,1,"MISSOURI"
"266",840,52,14,"GRAYDON",1,37.4542087,-93.513291,33,24,1,1,"MISSOURI"
"267",840,52,34,"STICKLERVILL",1,40.0661717,-92.4966959,32,22,1,1,"MISSOURI"
"268",840,52,131,"CAMERON",1,39.7131417,-94.0662299,32,22,1,1,"MISSOURI"
"269",840,53,2,"KALISPELL",1,48.1080187,-114.4619289,65,10,1,1,"MONTANA"
"270",840,53,8,"HARLEM",1,48.3824357,-108.7144099,38,11,1,1,"MONTANA"
"271",840,53,9,"MALTA",1,48.2200197,-107.868382,38,11,1,1,"MONTANA"
"272",840,53,10,"GLASGOW",1,48.2045751,-106.5334326,38,11,1,1,"MONTANA"
"273",840,53,13,"ST REGIS",1,47.2997227,-115.1044549,64,10,1,1,"MONTANA"
"274",840,53,19,"LEROY",1,47.7874097,-109.4150839,39,17,1,1,"MONTANA"
"275",840,53,26,"CLINTON",1,46.7236933,-113.6681583,64,10,1,1,"MONTANA"
"276",840,53,28,"BOULDER",1,46.1235467,-111.9188609,65,10,1,1,"MONTANA"
"277",840,53,36,"SULA",1,45.8507057,-113.9522469,64,10,1,1,"MONTANA"
"278",840,53,39,"CHESTNUT",1,45.5761407,-110.7878949,64,10,1,1,"MONTANA"
"279",840,53,40,"REED POINT",1,45.7251707,-109.5466543,65,17,1,1,"MONTANA"
"280",840,53,46,"BEAVERHEAD",1,44.5869032,-112.025803,65,10,1,1,"MONTANA"
"281",840,53,47,"RED ROCK",1,44.5987327,-111.5237969,65,10,1,1,"MONTANA"
"282",840,54,6,"KENESAW",1,40.6184587,-98.6673129,34,19,1,1,"NEBRASKA"
"283",840,54,12,"GRETNA",0,41.1764063,-96.1391528,32,22,1,1,"NEBRASKA"
"284",840,54,13,"IRVINGTON",1,41.34351,-96.08125,32,22,1,1,"NEBRASKA"
"285",840,54,14,"SURPRISE",1,41.1630727,-97.3498079,34,19,1,1,"NEBRASKA"
"286",840,54,17,"PETERSBURG",1,41.8865107,-98.0363319,34,19,1,1,"NEBRASKA"
"287",840,54,22,"THURSTON",1,42.1915702,-96.7354923,32,22,1,1,"NEBRASKA"
"288",840,54,40,"MURRAY LAKE",1,41.6980247,-103.9868089,36,18,1,1,"NEBRASKA"
"289",840,55,15,"TOIYABE NF",1,39.0044442,-117.4662536,88,9,1,1,"NEVADA"
"290",840,55,45,"NIXON",1,39.9432554,-119.3834746,88,9,1,1,"NEVADA"
"291",840,58,1,"PETERBOROUGH",1,42.9015085,-71.8661202,27,14,1,1,"NEW HAMPSHIRE"
"292",840,58,3,"FITZWILLIAM",1,42.8007764,-72.1685998,27,14,1,1,"NEW HAMPSHIRE"
"293",840,58,4,"DOVER",1,43.2321417,-70.9134599,12,30,1,1,"NEW HAMPSHIRE"
"294",840,58,6,"EPSOM",1,43.1980043,-71.2880123,27,30,1,1,"NEW HAMPSHIRE"
"295",840,58,8,"STRAFFORD",1,43.2499219,-71.1982777,27,30,1,1,"NEW HAMPSHIRE"
"296",840,58,10,"GILMANTN I W",1,43.4146177,-71.204272,27,14,1,1,"NEW HAMPSHIRE"
"297",840,58,11,"WILMOT",1,43.4568165,-71.8805982,27,14,1,1,"NEW HAMPSHIRE"
"298",840,58,13,"WALPOLE",1,43.0263963,-72.3814817,27,14,1,1,"NEW HAMPSHIRE"
"299",840,58,14,"MARLOW",1,43.0768236,-72.2121162,27,14,1,1,"NEW HAMPSHIRE"
"300",840,58,17,"JEFFERSON HL",1,44.3571867,-71.3885019,28,14,1,1,"NEW HAMPSHIRE"
"301",840,58,18,"FRANCONIA",1,44.1798777,-71.7063079,28,14,1,1,"NEW HAMPSHIRE"
"302",840,58,22,"CLARKSVILLE",1,44.9972951,-71.3746691,28,14,1,1,"NEW HAMPSHIRE"
"303",840,59,1,"WOODBURY HGT",1,39.8314157,-75.1462189,4,30,1,1,"NEW JERSEY"
"304",840,59,3,"SIX POINTS",1,39.5314149,-75.1074594,4,30,1,1,"NEW JERSEY"
"305",840,59,19,"KEMAH LAKE",1,41.1181687,-74.7967659,13,28,1,1,"NEW JERSEY"
"306",840,59,20,"BLOOMSBURY",1,40.6572687,-75.0997599,13,28,1,1,"NEW JERSEY"
"307",840,59,21,"HIGH POINT",1,41.3073947,-74.6772749,13,28,1,1,"NEW JERSEY"
"308",840,60,2,"NAGEESI",1,36.1676097,-107.7013619,87,16,1,1,"NEW MEXICO"
"309",840,60,4,"OJO SARCO",1,36.0797837,-105.7975849,62,16,1,1,"NEW MEXICO"
"310",840,60,6,"GRENVILLE",1,36.7278337,-103.5750419,55,18,1,1,"NEW MEXICO"
"311",840,60,9,"LA CIENEGA",1,35.5233697,-106.0592719,87,16,1,1,"NEW MEXICO"
"312",840,60,17,"COOLEY LAKE",1,34.1098564,-104.2297055,55,18,1,1,"NEW MEXICO"
"313",840,60,20,"HORSE MTN",1,33.749487,-107.3217132,84,16,1,1,"NEW MEXICO"
"314",840,60,22,"CARRIZOZO",1,33.6891907,-105.8493706,84,35,1,1,"NEW MEXICO"
"315",840,60,23,"ROSWELL",1,33.0896297,-104.8270959,56,35,1,1,"NEW MEXICO"
"316",840,60,24,"CAPROCK",1,33.3149504,-103.6280881,55,18,1,1,"NEW MEXICO"
"317",840,60,29,"LAKEWOOD",1,32.6557967,-104.3957139,56,35,1,1,"NEW MEXICO"
"318",840,60,31,"RODEO",1,31.9280116,-108.9941583,56,35,1,1,"NEW MEXICO"
"319",840,60,114,"CERRO VERDE",1,34.8699738,-107.2466969,87,16,1,1,"NEW MEXICO"
"320",840,60,126,"LAKE VALLEY",1,32.5335077,-107.4876559,56,35,1,1,"NEW MEXICO"
"321",840,60,130,"SAN SIMON",1,32.4717827,-103.2960129,56,18,1,1,"NEW MEXICO"
"322",840,61,8,"RHINEBECK",1,41.962831,-73.924448,13,13,1,1,"NEW YORK"
"323",840,61,47,"ORLEANS",1,42.904651,-77.118887,16,13,1,1,"NEW YORK"
"324",840,61,53,"HAMBURG",1,42.6805707,-78.8216099,16,13,1,1,"NEW YORK"
"325",840,61,56,"CATTARAUGUS",1,42.2769437,-78.8989789,24,28,1,1,"NEW YORK"
"326",840,61,65,"E YOUNGSTOWN",1,43.2572547,-79.0022969,16,13,1,1,"NEW YORK"
"327",840,61,70,"CICERO CTR",1,43.1693497,-76.0264589,16,13,1,1,"NEW YORK"
"328",840,61,72,"PULASKI",1,43.651181,-76.110868,18,13,1,1,"NEW YORK"
"329",840,61,73,"MCKEEVER",1,43.662991,-75.078218,26,14,1,1,"NEW YORK"
"330",840,61,85,"SPECULATOR",1,43.5654587,-74.3975289,26,14,1,1,"NEW YORK"
"331",840,61,90,"ARGYLE",1,43.217821,-73.409239,13,13,1,1,"NEW YORK"
"332",840,61,121,"DOWNSVILLE",1,42.0781957,-74.9852279,24,28,1,1,"NEW YORK"
